Ticker,Sector/Asset Class,YTD Performance (%),Benchmark ETF,Benchmark YTD Performance (%),Outperformance vs. Benchmark (%)
AAPL,Technology,-2.69,XLK,-3.88,1.19
ACN,Technology,-0.59,XLK,-3.88,3.29
AI,Technology,-31.93,XLK,-3.86,-28.07
AMD,Technology,-16.72,XLK,-3.86,-12.86
AMLP,US Stocks,7.42,SPY,0.48,6.94
AMZN,US Stocks,-4.82,SPY,0.48,-5.3
APP,Technology,-4.78,XLK,-3.86,-0.92
AVGO,Technology,-14.49,XLK,-3.86,-10.63
COIN,US Stocks,-16.68,SPY,0.52,-17.2
CRWD,Technology,11.1,XLK,-3.81,14.91
DKNG,US Stocks,19.04,SPY,0.49,18.55
ETH,Crypto,-35.53,BITO,-14.39,-21.14
FLIN,US Stocks,-11.25,SPY,0.49,-11.74
FTC,US Stocks,0.73,SPY,0.49,0.24
FTNT,Technology,13.11,XLK,-3.87,16.98
GIB,Technology,-4.95,XLK,-3.87,-1.08
GOOG,Communication Services,-10.49,XLC,4.14,-14.63
IAU,Gold,7.06,GLD,7.02,0.04
IBIT,Crypto,-13.55,BITO,-14.45,0.9
IJH,US Stocks,-0.94,SPY,0.45,-1.39
IJR,Small Cap Stocks,-3.24,IWM,-3.48,0.24
ITA,US Stocks,5.89,SPY,0.47,5.42
IVV,US Stocks,0.47,SPY,0.47,0.0
IYH,US Stocks,5.79,SPY,0.5,5.29
LRCX,Technology,5.92,XLK,-3.82,9.74
MCD,US Stocks,4.97,SPY,0.51,4.46
MSFT,Technology,-6.18,XLK,-3.82,-2.36
MU,Technology,7.75,XLK,-3.82,11.57
NVDA,Technology,-11.56,XLK,-3.83,-7.73
NXPI,Technology,5.74,XLK,-3.83,9.57
PEP,US Stocks,1.62,SPY,0.53,1.09
PLTR,Technology,10.54,XLK,-3.83,14.37
PYLD,US Stocks,2.36,SPY,0.54,1.82
QQQ,US Stocks,-1.33,SPY,0.54,-1.87
RELX,Industrials,6.18,XLI,3.14,3.04
RSP,US Stocks,2.42,SPY,0.56,1.86
SMCI,Technology,42.13,XLK,-3.74,45.87
SOUN,Technology,-46.68,XLK,-3.74,-42.94
SOXX,US Stocks,-4.08,SPY,0.56,-4.64
SPEU,US Stocks,10.98,SPY,0.56,10.42
SWKS,Technology,-24.0,XLK,-3.75,-20.25
TSM,Technology,-10.37,XLK,-3.75,-6.62
VB,US Stocks,-1.4,SPY,0.57,-1.97
VCR,US Stocks,-4.46,SPY,0.57,-5.03
VDC,US Stocks,5.79,SPY,0.56,5.23
VGT,US Stocks,-4.78,SPY,0.56,-5.34
VIG,US Stocks,3.18,SPY,0.57,2.61
VIS,US Stocks,1.55,SPY,0.57,0.98
VOO,US Stocks,0.6,SPY,0.58,0.02
VRT,Industrials,-19.59,XLI,3.17,-22.76
XLV,US Stocks,6.94,SPY,0.61,6.33
MBXIX,US Stocks,-1.18,SPY,0.61,-1.79
VCOBX,US Stocks,2.5,SPY,0.6,1.9
EQIX,Real Estate,-3.06,VNQ,5.86,-8.92
ASML,Technology,0.91,XLK,-3.69,4.6
CLIP,US Stocks,0.67,SPY,0.6,0.07
FTEC,US Stocks,-4.88,SPY,0.6,-5.48
FVD,US Stocks,3.61,SPY,0.62,2.99
IWM,Small Cap Stocks,-3.32,IWM,-3.32,0.0
REGL,US Stocks,3.61,SPY,0.59,3.02
SDY,US Stocks,4.67,SPY,0.59,4.08
SMH,US Stocks,-5.37,SPY,0.6,-5.97
VHT,US Stocks,5.76,SPY,0.6,5.16
AMAT,Technology,-3.68,XLK,-3.71,0.03
BKNG,US Stocks,0.24,SPY,0.6,-0.36
COST,US Stocks,13.55,SPY,0.6,12.95
CSCO,Technology,8.0,XLK,-3.72,11.72
CVX,Energy,8.35,XLE,4.01,4.34
GOOGL,Communication Services,-10.8,XLC,4.23,-15.03
HD,US Stocks,1.39,SPY,0.56,0.83
HON,Industrials,-5.86,XLI,3.15,-9.01
IEI,US Stocks,2.11,SPY,0.59,1.52
IWO,US Stocks,-4.72,SPY,0.59,-5.31
IYW,US Stocks,-4.04,SPY,0.58,-4.62
PG,US Stocks,4.56,SPY,0.58,3.98
RTX,Industrials,13.78,XLI,3.16,10.62
SCHW,US Stocks,7.25,SPY,0.6,6.65
SHLD,US Stocks,12.01,SPY,0.6,11.41
SHV,US Stocks,0.66,SPY,0.58,0.08
UNP,Industrials,6.6,XLI,3.17,3.43
VEA,US Stocks,6.96,SPY,0.55,6.41
GTSOX,US Stocks,0.37,SPY,0.55,-0.18
HNVRX,US Stocks,-3.57,SPY,0.56,-4.13
POLIX,US Stocks,1.01,SPY,0.56,0.45
PRILX,US Stocks,1.27,SPY,0.56,0.71
WCMIX,US Stocks,8.68,SPY,0.56,8.12
EOG,Energy,1.3,XLE,3.95,-2.65
IBB,US Stocks,2.37,SPY,0.47,1.9
IEF,US Stocks,3.11,SPY,0.47,2.64
IXJ,US Stocks,7.19,SPY,0.39,6.8
IYE,US Stocks,2.82,SPY,0.39,2.43
MA,US Stocks,8.83,SPY,0.4,8.43
META,Communication Services,10.33,XLC,4.12,6.21
SO,Utilities,9.02,XLU,2.69,6.33
V,US Stocks,13.83,SPY,0.32,13.51
WMT,US Stocks,8.43,SPY,0.32,8.11
ADP,Technology,8.14,XLK,-4.05,12.19
COWZ,US Stocks,0.57,SPY,0.38,0.19
DUK,Utilities,8.85,XLU,2.69,6.16
FDIS,US Stocks,-4.3,SPY,0.37,-4.67
GLD,Gold,7.0,GLD,7.0,0.0
IWR,US Stocks,0.57,SPY,0.39,0.18
KXI,US Stocks,6.39,SPY,0.39,6.0
LLY,Healthcare,16.27,XLV,6.85,9.42
LSCC,Technology,11.69,XLK,-3.94,15.63
MRVL,Technology,-19.97,XLK,-3.94,-16.03
MUB,US Stocks,1.05,SPY,0.45,0.6
NEE,Utilities,-2.74,XLU,2.71,-5.45
NVO,Healthcare,2.59,XLV,6.86,-4.27
PAVE,US Stocks,-0.83,SPY,0.42,-1.25
PHO,US Stocks,2.31,SPY,0.42,1.89
PTLC,US Stocks,0.34,SPY,0.41,-0.07
SHY,US Stocks,1.08,SPY,0.41,0.67
SPY,US Stocks,0.41,SPY,0.43,-0.02
TYO,US Stocks,-6.63,SPY,0.43,-7.06
FMOXX,US Stocks,0.0,SPY,0.41,-0.41
DLR,Real Estate,-12.02,VNQ,5.77,-17.79
CGW,US Stocks,2.96,SPY,0.44,2.52
PPA,US Stocks,1.0,SPY,0.44,0.56
SONY,Technology,17.95,XLK,-3.9,21.85
EEM,US Stocks,3.27,SPY,0.45,2.82
GEHC,Healthcare,10.95,XLV,6.86,4.09
IXN,US Stocks,-3.8,SPY,0.42,-4.22
LMT,Industrials,-7.33,XLI,3.0,-10.33
PANW,Technology,5.32,XLK,-3.94,9.26
QCOM,Technology,1.51,XLK,-3.94,5.45
